foldhash	0.2.0	registry+https://github.com/rust-lang/crates.io-index	Zlib	https://github.com/orlp/foldhash
font-types	0.12.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/googlefonts/fontations
fontdb	0.23.0	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/RazrFalcon/fontdb
fontique	0.11.0	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/linebender/parley
foreign-types	0.5.0	registry+https://github.com/rust-lang/crates.io-index	MIT/Apache-2.0	https://github.com/sfackler/foreign-types
foreign-types-macros	0.2.3	registry+https://github.com/rust-lang/crates.io-index	MIT/Apache-2.0	https://github.com/sfackler/foreign-types
foreign-types-shared	0.3.1	registry+https://github.com/rust-lang/crates.io-index	MIT/Apache-2.0	https://github.com/sfackler/foreign-types
form_urlencoded	1.2.2	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/servo/rust-url
futures	0.3.33	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-channel	0.3.33	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-core	0.3.33	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-executor	0.3.33	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-io	0.3.33	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-lite	2.6.1	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/smol-rs/futures-lite
futures-macro	0.3.33	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-sink	0.3.33	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-task	0.3.33	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-util	0.3.33	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
gethostname	1.1.0	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0	https://codeberg.org/swsnr/gethostname.rs.git
getopts	0.2.24	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/getopts
getrandom	0.3.4	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-random/getrandom
getrandom	0.4.3	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-random/getrandom
gif	0.14.2	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/image-rs/image-gif
gl_generator	0.14.0	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0	https://github.com/brendanzab/gl-rs/
glob	0.3.4	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/glob
glow	0.18.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0 OR Zlib	https://github.com/grovesNL/glow
glutin	0.32.3	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0	https://github.com/rust-windowing/glutin
glutin_egl_sys	0.7.1	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0	https://github.com/rust-windowing/glutin
glutin_wgl_sys	0.6.1	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0	https://github.com/rust-windowing/glutin
grid	1.0.1	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/becheran/grid
half	2.7.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/VoidStarKat/half-rs
harfrust	0.10.0	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/harfbuzz/harfrust
hashbrown	0.14.5	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/hashbrown
hashbrown	0.16.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/hashbrown
hashbrown	0.17.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/hashbrown
heck	0.5.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/withoutboats/heck
hermit-abi	0.3.9	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/hermit-os/hermit-rs
hermit-abi	0.5.2	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/hermit-os/hermit-rs
hex	0.4.3	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/KokaKiwi/rust-hex
htmlparser	0.2.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/jdrouet/htmlparser.git
i-slint-backend-linuxkms	1.18.0	git+https://github.com/slint-ui/slint.git?rev=3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f#3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f	GPL-3.0-only OR LicenseRef-Slint-Royalty-free-2.0 OR LicenseRef-Slint-Software-3.0	https://github.com/slint-ui/slint
i-slint-backend-selector	1.18.0	git+https://github.com/slint-ui/slint.git?rev=3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f#3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f	GPL-3.0-only OR LicenseRef-Slint-Royalty-free-2.0 OR LicenseRef-Slint-Software-3.0	https://github.com/slint-ui/slint
i-slint-backend-testing	1.18.0	git+https://github.com/slint-ui/slint.git?rev=3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f#3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f	GPL-3.0-only OR LicenseRef-Slint-Royalty-free-2.0 OR LicenseRef-Slint-Software-3.0	https://github.com/slint-ui/slint
i-slint-backend-winit	1.18.0	git+https://github.com/slint-ui/slint.git?rev=3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f#3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f	GPL-3.0-only OR LicenseRef-Slint-Royalty-free-2.0 OR LicenseRef-Slint-Software-3.0	https://github.com/slint-ui/slint
i-slint-common	1.18.0	git+https://github.com/slint-ui/slint.git?rev=3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f#3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f	GPL-3.0-only OR LicenseRef-Slint-Royalty-free-2.0 OR LicenseRef-Slint-Software-3.0	https://github.com/slint-ui/slint
i-slint-compiler	1.18.0	git+https://github.com/slint-ui/slint.git?rev=3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f#3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f	GPL-3.0-only OR LicenseRef-Slint-Royalty-free-2.0 OR LicenseRef-Slint-Software-3.0	https://github.com/slint-ui/slint
i-slint-core	1.18.0	git+https://github.com/slint-ui/slint.git?rev=3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f#3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f	GPL-3.0-only OR LicenseRef-Slint-Royalty-free-2.0 OR LicenseRef-Slint-Software-3.0	https://github.com/slint-ui/slint
i-slint-core-macros	1.18.0	git+https://github.com/slint-ui/slint.git?rev=3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f#3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f	GPL-3.0-only OR LicenseRef-Slint-Royalty-free-2.0 OR LicenseRef-Slint-Software-3.0	https://github.com/slint-ui/slint
i-slint-renderer-skia	1.18.0	git+https://github.com/slint-ui/slint.git?rev=3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f#3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f	GPL-3.0-only OR LicenseRef-Slint-Royalty-free-2.0 OR LicenseRef-Slint-Software-3.0	https://github.com/slint-ui/slint
i-slint-renderer-software	1.18.0	git+https://github.com/slint-ui/slint.git?rev=3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f#3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f	GPL-3.0-only OR LicenseRef-Slint-Royalty-free-2.0 OR LicenseRef-Slint-Software-3.0	https://github.com/slint-ui/slint
iana-time-zone	0.1.65	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/strawlab/iana-time-zone
iana-time-zone-haiku	0.1.2	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/strawlab/iana-time-zone
icu_collections	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_decimal	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_decimal_data	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_locale	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_locale_core	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_locale_data	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_normalizer	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_normalizer_data	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_plurals	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_plurals_data	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_properties	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_properties_data	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_provider	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_segmenter	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_segmenter_data	2.2.0	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
idna	1.1.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/servo/rust-url/
idna_adapter	1.2.2	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/hsivonen/idna_adapter
image	0.25.10	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/image-rs/image
image-webp	0.2.4	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/image-rs/image-webp
imagesize	0.14.0	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/Roughsketch/imagesize
imgref	1.12.2	registry+https://github.com/rust-lang/crates.io-index	CC0-1.0 OR Apache-2.0	https://github.com/kornelski/imgref
indexmap	2.14.0	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/indexmap-rs/indexmap
input	0.10.0	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/Drakulix/input.rs
input-sys	1.19.0	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/Drakulix/input.rs/tree/master/input-sys
integer-sqrt	0.1.5	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0/MIT	https://github.com/derekdreery/integer-sqrt-rs
interpolate_name	0.2.4	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/lu-zero/interpolate_name
io-lifetimes	1.0.11	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	https://github.com/sunfishcode/io-lifetimes
itertools	0.13.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-itertools/itertools
itertools	0.14.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-itertools/itertools
itoa	1.0.18	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/dtolnay/itoa
jni	0.22.4	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/jni-rs/jni-rs
jni-macros	0.22.4	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/jni-rs/jni-rs
